day,topic_id,tweets_total,tweets_lv_ru_en,tweets_lv,tweets_ru,tweets_en,users_lv,users_ru,users_en
2017-07-20 00:00:00,LV001,4,4,0.50,0.50,0.00,0.50,0.50,0.00
2017-07-21 00:00:00,LV001,3,3,0.67,0.33,0.00,0.60,0.33,0.07
2017-07-22 00:00:00,LV001,3,3,1.00,0.00,0.00,0.98,0.00,0.02
2017-07-23 00:00:00,LV001,10,10,1.00,0.00,0.00,0.99,0.00,0.01
2017-07-24 00:00:00,LV001,2,2,0.50,0.50,0.00,0.50,0.48,0.02
2017-07-25 00:00:00,LV001,4,4,1.00,0.00,0.00,1.00,0.00,0.00
2017-07-27 00:00:00,LV001,3,3,0.67,0.33,0.00,0.66,0.33,0.01
2017-07-28 00:00:00,LV001,1,1,1.00,0.00,0.00,1.00,0.00,0.00
2017-07-30 00:00:00,LV001,2,2,1.00,0.00,0.00,0.89,0.00,0.11
2017-07-31 00:00:00,LV001,2,2,0.50,0.50,0.00,0.50,0.49,0.01
2017-08-02 00:00:00,LV001,2,2,0.00,1.00,0.00,0.01,0.98,0.01
2017-08-04 00:00:00,LV001,2,2,0.00,1.00,0.00,0.01,0.61,0.39
2017-08-06 00:00:00,LV001,2,2,0.50,0.50,0.00,0.50,0.48,0.02
2017-08-07 00:00:00,LV001,3,3,0.33,0.67,0.00,0.34,0.64,0.02
2017-08-08 00:00:00,LV001,1,1,1.00,0.00,0.00,1.00,0.00,0.00
2017-08-11 00:00:00,LV001,5,5,1.00,0.00,0.00,0.89,0.00,0.11
2017-08-12 00:00:00,LV001,5,5,0.60,0.40,0.00,0.60,0.39,0.01
2017-08-13 00:00:00,LV001,1,1,0.00,1.00,0.00,0.00,1.00,0.00
2017-08-14 00:00:00,LV001,4,4,0.75,0.25,0.00,0.75,0.25,0.00
2017-08-15 00:00:00,LV001,1,1,1.00,0.00,0.00,0.99,0.00,0.01
2017-08-17 00:00:00,LV001,3,3,0.67,0.33,0.00,0.67,0.33,0.01
2017-08-20 00:00:00,LV001,2,2,0.00,0.50,0.50,0.30,0.54,0.16
2017-08-22 00:00:00,LV001,5,5,0.60,0.40,0.00,0.59,0.39,0.01
2017-08-23 00:00:00,LV001,1,1,1.00,0.00,0.00,0.94,0.00,0.06
2017-08-27 00:00:00,LV001,1,1,1.00,0.00,0.00,0.96,0.00,0.04
2017-08-31 00:00:00,LV001,2,2,1.00,0.00,0.00,1.00,0.00,0.00
2017-09-01 00:00:00,LV001,2,2,1.00,0.00,0.00,1.00,0.00,0.00
2017-09-02 00:00:00,LV001,3,3,0.67,0.33,0.00,0.63,0.33,0.04
2017-09-03 00:00:00,LV001,1,1,0.00,1.00,0.00,0.00,1.00,0.00
2017-09-04 00:00:00,LV001,7,7,0.71,0.29,0.00,0.72,0.27,0.01
2017-09-05 00:00:00,LV001,3,3,0.33,0.67,0.00,0.33,0.67,0.00
2017-09-06 00:00:00,LV001,3,3,1.00,0.00,0.00,0.97,0.01,0.02
2017-09-08 00:00:00,LV001,1,1,1.00,0.00,0.00,0.98,0.00,0.02
2017-09-09 00:00:00,LV001,6,6,0.00,0.17,0.83,0.67,0.15,0.18
2017-09-10 00:00:00,LV001,1,1,0.00,1.00,0.00,0.00,0.99,0.01
2017-09-11 00:00:00,LV001,2,2,1.00,0.00,0.00,0.99,0.00,0.01
2017-09-12 00:00:00,LV001,7,7,0.71,0.29,0.00,0.68,0.28,0.03
2017-09-13 00:00:00,LV001,1,1,1.00,0.00,0.00,1.00,0.00,0.00
2017-09-14 00:00:00,LV001,19,19,0.89,0.11,0.00,0.83,0.11,0.06
2017-09-15 00:00:00,LV001,5,5,0.80,0.20,0.00,0.61,0.20,0.19
2017-09-16 00:00:00,LV001,1,1,0.00,1.00,0.00,0.19,0.75,0.06
2017-09-17 00:00:00,LV001,8,8,1.00,0.00,0.00,0.98,0.00,0.02
2017-09-18 00:00:00,LV001,4,4,0.50,0.25,0.25,0.49,0.25,0.26
2017-09-19 00:00:00,LV001,6,6,0.83,0.17,0.00,0.83,0.16,0.01
2017-09-20 00:00:00,LV001,2,2,1.00,0.00,0.00,0.97,0.00,0.03
2017-09-21 00:00:00,LV001,6,6,1.00,0.00,0.00,0.98,0.00,0.02
2017-09-22 00:00:00,LV001,1,1,1.00,0.00,0.00,0.92,0.00,0.08
2017-09-23 00:00:00,LV001,1,1,1.00,0.00,0.00,1.00,0.00,0.00
2017-09-24 00:00:00,LV001,1,1,0.00,1.00,0.00,0.00,1.00,0.00
2017-09-25 00:00:00,LV001,15,15,0.93,0.07,0.00,0.92,0.07,0.02
2017-09-26 00:00:00,LV001,2,1,0.00,0.00,1.00,0.00,0.00,1.00
2017-09-27 00:00:00,LV001,2,2,1.00,0.00,0.00,0.97,0.01,0.02
2017-09-28 00:00:00,LV001,6,6,1.00,0.00,0.00,1.00,0.00,0.00
2017-09-30 00:00:00,LV001,1,1,0.00,1.00,0.00,0.00,0.99,0.01
2017-10-01 00:00:00,LV001,3,3,0.33,0.67,0.00,0.33,0.67,0.00
2017-10-02 00:00:00,LV001,8,8,0.75,0.25,0.00,0.70,0.25,0.05
2017-10-03 00:00:00,LV001,9,9,1.00,0.00,0.00,0.97,0.00,0.03
2017-10-04 00:00:00,LV001,11,11,0.73,0.27,0.00,0.72,0.27,0.01
2017-10-05 00:00:00,LV001,4,4,1.00,0.00,0.00,1.00,0.00,0.00
2017-10-06 00:00:00,LV001,4,4,1.00,0.00,0.00,0.96,0.00,0.04
2017-10-07 00:00:00,LV001,2,2,1.00,0.00,0.00,1.00,0.00,0.00
2017-10-08 00:00:00,LV001,12,12,1.00,0.00,0.00,0.98,0.00,0.02
2017-10-09 00:00:00,LV001,8,8,1.00,0.00,0.00,0.98,0.00,0.02
2017-10-10 00:00:00,LV001,3,3,1.00,0.00,0.00,0.92,0.00,0.08
2017-10-11 00:00:00,LV001,3,3,1.00,0.00,0.00,0.97,0.00,0.03
2017-10-12 00:00:00,LV001,6,6,1.00,0.00,0.00,0.97,0.01,0.01
2017-10-13 00:00:00,LV001,1,1,1.00,0.00,0.00,1.00,0.00,0.00
2017-10-14 00:00:00,LV001,1,1,0.00,1.00,0.00,0.00,0.97,0.03
2017-10-15 00:00:00,LV001,8,8,1.00,0.00,0.00,1.00,0.00,0.00
2017-10-16 00:00:00,LV001,3,3,0.67,0.33,0.00,0.58,0.37,0.04
2017-10-17 00:00:00,LV001,13,13,0.85,0.15,0.00,0.83,0.15,0.01
