Screen name,Latvian,Russian,English,Total
Ainars13,63,,,63
Ann23_06,1,62,,63
DinaDragune,62,,1,63
FFIntMOVERS,15,,48,63
Fiikjerists,55,,8,63
eeelenaaaaaaaa,,62,1,63
merelina,63,,,63
nickithesassy,42,1,20,63
Gulbbibl,62,,,62
Liva,50,,12,62
ManaBalss_rus,,62,,62
andris_alksnis,61,,1,62
eRiky,47,,15,62
leifnixon,,1,61,62
OttoOzols,57,,4,61
PSoemers,,,61,61
RihardsKols,52,,9,61
hamstergirl28,,61,,61
Bertaane,60,,,60
DanielDaniluk,,1,59,60
EurovisionKD,,,60,60
Inga_PD,56,,4,60
WeirdFan1D,,59,1,60
daria_dontsova,,60,,60
edgarsj,58,,2,60
elinka212,,60,,60
AB699,,59,,59
Lukstins88,55,,4,59
teamoanastasia,,59,,59
A_Kalnins,1,,57,58
SAIGONw,,57,1,58
Sandzja17,50,,8,58
SassmasterAlbin,,,58,58
agijakola,58,,,58
krista_perse,58,,,58
kurzemnieks_K,58,,,58
StyAjua,,56,1,57
andygmz2000,,,57,57
etoluichemodan,3,47,7,57
jacky_spoki,57,,,57
marisgrinbergs,57,,,57
OptibeTips,52,,4,56
gaitisg,56,,,56
sapnisiem,56,,,56
CliffHague,,,55,55
JurisSleiers,41,,14,55
KevinClimate,,,55,55
Laine_Ieva,53,,2,55
cepumiarpienu,32,,23,55
pandulaacis,55,,,55
valiumnation,,,55,55
KsenijaMelbarde,53,,1,54
ManaBalss,54,,,54
Rezajann,,,54,54
ZandaRadzina,54,,,54
bizenajs,54,,,54
kalisa_d,,53,1,54
ray_partelow,,,54,54
@@HOTEL,10,,43,53
@aluksnes_novads,53,,,53
@radissondaugava,10,,43,53
Adaroze,,52,1,53
Andr0n4ikk,,52,1,53
DrgTwo,,52,1,53
Jana299,,48,5,53
Monstrinjshhh,52,1,,53
Not4youLV,50,,3,53
madaradaktere,26,27,,53
ElvisUncle,14,18,20,52
Gorodnickaaa,,43,9,52
NVOnams,50,1,1,52
Nauris_F,21,7,24,52
StNicole1,,52,,52
emilijaenika,2,,50,52
franckelbers,,,52,52
gnarp1,,,52,52
hcSKA_News,,,52,52
klimovics,51,,1,52
ledusauksts,51,,1,52
mosja15,2,50,,52
xeliihax,48,,4,52
@@MUSEUM,47,,4,51
BluForster,51,,,51
LilimillRiga,51,,,51
Makcraft,,41,10,51
OskarsDeigelis,44,,7,51
Yefimova08,,50,1,51
a_korolkov,,50,1,51
cipanss,51,,,51
djnickymiles,2,2,47,51
killcarbon,,49,2,51
srudlapa,50,,1,51
630729,48,,2,50
@sportacentrs,50,,,50
ApgadsJumava,50,,,50
Liepkalns,49,,1,50
aurika_voou,1,49,,50
dasha_hujasha,,50,,50
nastjagrekova,,45,5,50
nchesheva,,50,,50
say_yessummer,,47,3,50
serz113,,48,2,50
